RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1
2,15629078,Matthias,850,Germany,Female,45,5,127258.79,1,1,1,192744.23,1
3,15806880,Boyle,627,Spain,Female,30,6,0,1,1,1,113408.47,0
4,15754999,Ch'eng,570,France,Female,33,8,0,1,1,1,124641.42,0
5,15781034,Mason,796,Spain,Male,67,5,0,2,0,1,54871.02,0
6,15622017,Bruno,773,Spain,Female,33,10,0,1,1,1,98820.09,0
7,15705885,Smeaton,752,Spain,Male,36,2,0,2,1,1,45570.84,0
8,15677382,Miller,625,Spain,Female,69,1,107569.96,1,1,1,182336.45,0
9,15566843,Gotch,535,Germany,Male,20,9,134874.4,1,1,1,118825.56,0
10,15608387,Fu,786,France,Female,29,4,0,2,1,0,103372.79,0
11,15810786,O'Toole,620,France,Female,67,3,0,2,1,1,43486.73,0
12,15626983,Ledford,605,Spain,Female,48,6,0,2,1,1,40062.99,0
13,15773605,Iadanza,670,Spain,Female,32,3,0,2,1,0,46175.7,0
14,15811261,Alaniz,617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0
15,15590606,Saunders,595,France,Male,41,9,0,2,1,0,5967.09,0
16,15576644,Lin,687,Germany,Female,29,4,78939.15,1,1,0,122134.56,1
17,15750264,Pinto,757,Germany,Male,30,6,105128.85,2,1,1,62972.13,0
18,15741554,Streeter,746,Spain,Male,31,2,113836.27,1,1,1,174815.54,0
19,15769051,Shaw,503,Spain,Male,25,7,0,1,0,1,192841.13,0
20,15812198,Chen,543,Germany,Male,48,1,100900.5,1,0,0,33310.72,1
21,15699772,Barclay,428,Germany,Female,40,3,129248.11,2,1,0,72876.43,1
22,15744105,Kodilinyechukwu,768,France,Female,28,3,109118.05,2,0,1,50911.41,0
23,15739858,Otitodilichukwu,618,France,Male,56,7,0,1,1,1,142400.27,1
24,15723720,McKenzie,591,France,Female,31,7,0,2,0,1,48778.46,0
25,15638355,Woods,658,France,Female,35,5,126397.66,1,0,0,156361.58,1
26,15805637,Hsing,625,France,Male,36,9,108546.16,3,1,0,133807.77,1
27,15629575,Wheare,717,France,Male,36,2,148061.89,1,1,0,179128.69,1
28,15586243,Yobachi,667,France,Male,44,8,122277.87,1,1,1,91810.71,0
29,15757931,Fang,804,France,Male,24,3,0,2,1,0,173195.33,0
30,15716023,Pearson,693,France,Male,31,1,0,2,0,1,182270.88,0
31,15647782,Brown,729,Germany,Male,36,8,152899.24,2,1,0,177130.33,0
32,15716609,L?,484,Germany,Male,54,3,134388.11,1,0,0,49954.79,1
33,15623791,Padovesi,632,Spain,Female,40,3,109740.62,1,1,0,141896.74,0
34,15627262,Soto,536,Germany,Male,23,6,92366.72,2,1,0,120661.71,0
35,15652693,Greco,573,France,Female,26,4,129109.02,1,0,0,149814.68,1
36,15586993,Giordano,655,Spain,Female,56,5,0,2,1,1,41782.7,0
37,15815560,Bogle,666,Germany,Male,74,7,105102.5,1,1,1,46172.47,0
38,15584930,Grimmett,726,Germany,Male,30,5,111375.32,2,1,0,2704.09,0
39,15799031,Ayers,523,France,Male,39,3,0,2,1,0,6726.53,0
40,15600734,Townsend,624,Spain,Male,51,5,174397.21,2,1,1,172372.63,0
41,15779176,Dike,565,Germany,Female,58,3,108888.24,3,0,1,135875.51,1
42,15605286,Moyes,565,France,Male,55,4,118803.35,2,1,1,128124.7,1
43,15674922,Beavers,710,France,Male,54,6,171137.62,1,1,1,167023.95,1
44,15737506,Tretiakova,645,France,Male,42,6,0,1,0,0,149807.01,0
45,15780514,Fuller,707,France,Male,33,8,136678.52,1,1,0,54290.62,0
46,15623647,Dellucci,655,Spain,Female,36,1,135515.76,1,1,0,86013.96,0
47,15668472,Ritchie,705,Spain,Female,24,5,177799.83,2,0,0,79886.06,0
48,15692416,Aikenhead,358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1
49,15771139,Douglas,578,Germany,Male,34,8,147487.23,2,1,0,66680.77,0
50,15738318,Kung,800,France,Female,40,5,97764.41,1,1,0,98640.15,1
51,15772243,MacDonald,612,France,Female,33,9,0,1,0,0,142797.5,1
52,15638463,Okwudilichukwu,681,Germany,Female,48,8,139480.18,1,1,1,163581.67,0
53,15598088,Ni,559,Spain,Male,25,5,0,2,1,1,163221.22,0
54,15693468,Simmons,488,Spain,Female,39,9,140553.46,1,0,0,12440.44,0
55,15671930,H?,717,France,Female,36,5,0,2,1,1,145551.6,0
56,15762268,Hancock,666,France,Female,41,10,141162.08,1,1,0,50908.48,0
57,15780954,Cran,582,Spain,Male,26,4,65848.36,2,1,0,30149.21,0
58,15700174,McKay,733,Spain,Female,30,0,83319.28,1,0,0,57769.2,0
59,15635728,P'an,693,France,Male,41,4,0,2,0,0,156381.47,0
60,15679283,Parkhill,694,France,Female,33,4,129731.64,2,1,0,178123.86,0
61,15591386,Golubova,622,France,Female,35,5,0,2,1,0,51112.8,0
62,15694192,Nwankwo,598,Spain,Female,38,6,0,2,0,0,173783.38,0
63,15585901,Johnson,717,Spain,Male,35,1,0,3,0,0,174770.14,1
64,15792329,Mao,494,Germany,Male,37,5,107106.33,2,1,0,172063.09,0
65,15635597,Echezonachukwu,644,France,Male,33,8,0,2,1,1,155294.17,0
66,15775880,McElyea,554,France,Female,30,9,0,2,1,1,40320.3,0
67,15630913,Rosas,476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0
68,15756680,Phillips,667,France,Male,28,6,165798.1,1,1,0,147090.9,0
69,15587913,Palerma,748,Spain,Female,40,4,0,2,1,0,132368.47,0
70,15737605,Morris,531,Spain,Female,45,1,126495.57,2,1,1,164741.5,0
71,15627876,Pavlova,719,Spain,Female,47,9,116393.59,1,1,0,63051.32,1
72,15772601,Lu,845,Germany,Female,41,2,81733.74,2,0,0,199761.29,0
73,15758606,Yamamoto,738,France,Male,54,4,0,1,0,1,55725.04,1
74,15657107,Angelo,563,Spain,Female,46,8,106171.68,1,1,0,163145.5,1
75,15622454,Zaitsev,695,Spain,Male,28,0,96020.86,1,1,1,57992.49,0
76,15775803,Cawker,841,Spain,Male,41,1,0,2,0,1,193093.77,0
77,15570859,Froggatt,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0
78,15748381,Gorbunov,613,France,Female,29,6,185709.28,2,1,1,77242.19,0
79,15787189,Tai,824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1
80,15666055,Rowe,705,France,Female,49,7,0,1,1,0,63405.2,1
81,15617648,Mikkelsen,584,France,Female,44,5,95671.75,2,1,1,106564.88,0
82,15755678,Kovalyov,534,France,Male,62,2,0,2,0,0,42763.12,1
83,15624781,Mbanefo,672,France,Female,34,1,142151.75,2,1,1,168753.34,0
84,15779497,Ts'ai,603,France,Male,43,5,127823.93,1,1,1,19483.35,0
85,15567399,Enderby,633,Germany,Male,43,3,144164.29,1,1,1,158646.46,0
86,15613656,Lombardi,842,France,Male,58,1,63492.94,1,1,1,83172.19,0
87,15734311,Hamilton,661,France,Female,27,3,0,2,1,1,76889.79,0
88,15657214,Hsia,601,France,Male,74,2,0,2,0,1,51554.58,0
89,15799350,Mao,632,France,Male,41,0,106134.46,1,0,1,105570.39,0
90,15729970,Ugochukwu,684,Germany,Male,29,8,127269.75,1,0,1,79495.01,0
91,15725835,West,785,Germany,Female,32,3,124493.03,2,0,1,52583.79,1
92,15745543,Hughes,687,France,Male,39,7,0,2,1,0,26848.25,0
93,15727384,Chukwuemeka,705,Germany,Female,43,10,146547.78,1,0,1,10072.55,1
94,15666916,Lira,639,France,Male,43,6,99610.92,2,1,0,187296.78,0
95,15732917,Li,729,Germany,Male,46,5,117837.43,1,1,0,104016.61,1
96,15612050,Castiglione,556,Spain,Female,48,8,168522.37,1,1,1,151310.16,0
97,15726267,Paterson,570,France,Male,32,9,117337.54,2,0,1,62810.91,0
98,15780124,Blair,841,France,Male,74,9,108131.53,1,0,1,60830.38,0
99,15742238,Dellucci,705,Germany,Male,35,4,136496.12,2,1,0,116672.02,0
100,15679024,Udinesi,553,France,Male,32,3,116324.53,1,1,0,77304.49,0
101,15715297,Yuan,779,Germany,Female,40,2,75470.23,1,1,1,52894.01,0
102,15633612,Yuryeva,696,France,Male,28,4,172646.82,1,1,1,116471.43,0
103,15602929,Wilson,728,Spain,Female,37,4,0,1,0,0,4539.38,0
104,15696703,Dean,691,Germany,Male,27,3,160358.68,2,1,0,142367.72,0
105,15756668,Ross,706,France,Male,30,3,98415.37,1,1,1,110520.48,0
106,15565779,Kent,627,Germany,Female,30,6,57809.32,1,1,0,188258.49,0
107,15795519,Vasiliev,716,Germany,Female,18,3,128743.8,1,0,0,197322.13,0
108,15761477,Golibe,501,Germany,Male,24,4,130806.42,2,1,0,80241.14,0
109,15731890,Chukwukere,601,France,Male,41,1,123971.16,1,0,1,172814.99,0
110,15633043,Fedorova,545,Spain,Female,39,6,0,1,0,0,38410.74,1
111,15752953,Chien,634,France,Male,45,9,0,2,0,0,17622.82,0
112,15603088,Rossi,451,Spain,Female,23,9,0,2,0,1,48021.71,0
113,15606613,Samson,655,France,Female,59,7,0,1,1,0,88958.49,1
114,15635939,Fenton,458,France,Female,39,9,0,2,1,0,116343.09,0
115,15666043,Mackey,520,France,Male,33,4,156297.58,2,1,1,166102.61,0
116,15746190,Payton,624,Spain,Female,28,2,0,2,0,1,104353.26,0
117,15591357,Cowger,765,France,Male,51,3,123372.3,1,1,1,115429.32,0
118,15658716,Banks,667,Germany,Female,37,5,92171.35,3,1,0,178106.34,1
119,15679909,Pugliesi,665,Spain,Male,41,8,0,2,1,0,132152.32,0
120,15634262,Fantin,709,Germany,Male,34,4,148375.19,2,1,1,21521.38,0
121,15799825,Bentley,583,France,Female,44,8,0,2,1,1,27431.62,0
122,15756875,Freeman,782,Spain,Male,34,6,147422.44,1,0,1,42143.61,0
123,15678146,Wong,668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1
124,15710743,Onwuamaeze,621,France,Male,47,0,0,1,1,1,133831.37,1
125,15595831,Shen,579,Germany,Female,64,6,145215.43,1,1,1,164083.72,0
126,15626684,Huang,547,France,Female,38,5,167539.97,1,0,1,159207.34,0
127,15709846,Yeh,840,France,Female,39,1,94968.97,1,1,0,84487.62,0
128,15635459,Shih,667,Germany,Female,27,3,106116.5,2,1,0,3674.71,0
129,15642544,Henderson,723,France,Male,34,5,0,2,0,1,12092.03,0
130,15566494,Fang,487,France,Male,45,2,0,2,1,0,77475.73,0
131,15655238,Dellucci,668,France,Female,31,9,0,2,0,0,41291.73,0
132,15733429,Chou,520,Germany,Male,34,8,120018.86,2,1,1,343.38,0
133,15814536,Conti,549,France,Male,37,2,112541.54,2,0,0,47432.43,0
134,15771702,Roberts,567,France,Female,35,5,166118.45,2,1,0,127827.18,0
135,15723008,Lo Duca,720,France,Female,45,1,102882.4,2,1,1,35633.15,1
136,15797160,Glover,492,France,Female,49,8,0,1,1,1,182865.09,1
137,15792222,Johnstone,712,France,Female,37,1,106881.5,2,0,0,169386.81,0
